timestamp,region,fuel_type,demand,price
2026-02-21 13:20:00+10:00,SA1,Unknown,1041.18,-4.0
2026-02-21 13:20:00+10:00,TAS1,Unknown,781.23,88.08
2026-02-21 13:20:00+10:00,VIC1,Unknown,3077.73,7.47
2026-02-21 13:25:00+10:00,NSW1,Unknown,8801.06,57.06
2026-02-21 13:25:00+10:00,QLD1,Unknown,4909.67,-4.0
2026-02-21 13:25:00+10:00,SA1,Unknown,1047.43,-8.5
2026-02-21 13:25:00+10:00,TAS1,Unknown,781.58,88.08
2026-02-21 13:25:00+10:00,VIC1,Unknown,3042.43,10.89
2026-02-21 13:30:00+10:00,NSW1,Unknown,8813.58,40.54
2026-02-21 13:30:00+10:00,QLD1,Unknown,4745.22,-4.0
2026-02-21 13:30:00+10:00,SA1,Unknown,1055.64,-8.5
2026-02-21 13:30:00+10:00,TAS1,Unknown,781.55,88.08
2026-02-21 13:30:00+10:00,VIC1,Unknown,3102.5,1.01
2026-02-21 13:35:00+10:00,NSW1,Unknown,8967.96,57.08
2026-02-21 13:35:00+10:00,QLD1,Unknown,4805.36,-5.15
2026-02-21 13:35:00+10:00,SA1,Unknown,1016.36,-4.0
2026-02-21 13:35:00+10:00,TAS1,Unknown,783.18,88.08
2026-02-21 13:35:00+10:00,VIC1,Unknown,3156.16,1.67
2026-02-21 13:40:00+10:00,NSW1,Unknown,9108.33,76.19
2026-02-21 13:40:00+10:00,QLD1,Unknown,4858.19,-5.73
2026-02-21 13:40:00+10:00,SA1,Unknown,1058.07,-7.5
2026-02-21 13:40:00+10:00,TAS1,Unknown,788.55,88.08
2026-02-21 13:40:00+10:00,VIC1,Unknown,3121.4,-1.17
2026-02-21 13:45:00+10:00,NSW1,Unknown,9297.27,57.08
2026-02-21 13:45:00+10:00,QLD1,Unknown,4897.36,-5.5
2026-02-21 13:45:00+10:00,SA1,Unknown,1120.71,-4.0
2026-02-21 13:45:00+10:00,TAS1,Unknown,787.46,88.08
2026-02-21 13:45:00+10:00,VIC1,Unknown,3226.84,-0.1
2026-02-21 13:50:00+10:00,NSW1,Unknown,9555.93,100.01
2026-02-21 13:50:00+10:00,QLD1,Unknown,4949.44,-5.49
2026-02-21 13:50:00+10:00,SA1,Unknown,1153.74,8.3
2026-02-21 13:50:00+10:00,TAS1,Unknown,787.72,88.08
2026-02-21 13:50:00+10:00,VIC1,Unknown,3303.41,7.47
2026-02-21 13:55:00+10:00,NSW1,Unknown,9737.72,106.87
2026-02-21 13:55:00+10:00,QLD1,Unknown,4974.56,-4.0
2026-02-21 13:55:00+10:00,SA1,Unknown,1165.53,-4.7
2026-02-21 13:55:00+10:00,TAS1,Unknown,795.59,88.08
2026-02-21 13:55:00+10:00,VIC1,Unknown,3368.6,-4.25
2026-02-21 14:00:00+10:00,NSW1,Unknown,9923.06,100.01
2026-02-21 14:00:00+10:00,QLD1,Unknown,5066.96,-4.0
2026-02-21 14:00:00+10:00,SA1,Unknown,1157.92,-4.98
2026-02-21 14:00:00+10:00,TAS1,Unknown,793.94,88.08
2026-02-21 14:00:00+10:00,VIC1,Unknown,3452.96,-4.75
2026-02-21 14:05:00+10:00,NSW1,Unknown,10016.95,108.01
2026-02-21 14:05:00+10:00,QLD1,Unknown,5017.43,-4.0
2026-02-21 14:05:00+10:00,SA1,Unknown,1165.53,-4.0
2026-02-21 14:05:00+10:00,TAS1,Unknown,799.23,88.08
2026-02-21 14:05:00+10:00,VIC1,Unknown,3443.03,-3.12
2026-02-21 14:10:00+10:00,NSW1,Unknown,10073.75,100.01
2026-02-21 14:10:00+10:00,QLD1,Unknown,5096.91,-4.0
2026-02-21 14:10:00+10:00,SA1,Unknown,1195.26,81.44
2026-02-21 14:10:00+10:00,TAS1,Unknown,797.17,88.08
2026-02-21 14:10:00+10:00,VIC1,Unknown,3465.7,-5.08
2026-02-21 14:15:00+10:00,NSW1,Unknown,10083.4,64.89
2026-02-21 14:15:00+10:00,QLD1,Unknown,5136.19,-4.0
2026-02-21 14:15:00+10:00,SA1,Unknown,1198.41,9.1
2026-02-21 14:15:00+10:00,TAS1,Unknown,800.28,88.08
2026-02-21 14:15:00+10:00,VIC1,Unknown,3635.45,0.0
2026-02-21 14:20:00+10:00,NSW1,Unknown,10167.74,65.3
2026-02-21 14:20:00+10:00,QLD1,Unknown,5208.41,-1.0
2026-02-21 14:20:00+10:00,SA1,Unknown,1212.75,51.0
2026-02-21 14:20:00+10:00,TAS1,Unknown,799.63,88.08
2026-02-21 14:20:00+10:00,VIC1,Unknown,3703.01,-4.25
2026-02-21 14:25:00+10:00,NSW1,Unknown,10037.27,57.08
