timestamp,region,fuel_type,energy,power
2026-01-29 01:00:00+10:00,VIC1,coal,3933.3811,47200.563
2026-01-29 01:00:00+10:00,VIC1,gas,0.0,0.0
2026-01-29 01:00:00+10:00,VIC1,hydro,0.1348,1.62
2026-01-29 01:00:00+10:00,VIC1,solar,-0.1704,-2.04
2026-01-29 01:00:00+10:00,VIC1,wind,1809.3784,21712.553
2026-01-29 02:00:00+10:00,NSW1,battery,-64.0161,-768.1998
2026-01-29 02:00:00+10:00,NSW1,battery_charging,68.7125,824.5507
2026-01-29 02:00:00+10:00,NSW1,battery_discharging,4.6964,56.3509
2026-01-29 02:00:00+10:00,NSW1,bioenergy,49.708,596.4944
2026-01-29 02:00:00+10:00,NSW1,coal,4516.0565,54192.677
2026-01-29 02:00:00+10:00,NSW1,distillate,0.0,0.0
2026-01-29 02:00:00+10:00,NSW1,gas,44.6177,535.41
2026-01-29 02:00:00+10:00,NSW1,hydro,114.5419,1374.498
2026-01-29 02:00:00+10:00,NSW1,pumps,0.0,0.0
2026-01-29 02:00:00+10:00,NSW1,solar,0.0264,0.3144
2026-01-29 02:00:00+10:00,NSW1,wind,1737.8538,20854.247
2026-01-29 02:00:00+10:00,QLD1,battery,-4.3107,-51.7321
2026-01-29 02:00:00+10:00,QLD1,battery_charging,26.8602,322.335
2026-01-29 02:00:00+10:00,QLD1,battery_discharging,26.3641,316.3706
2026-01-29 02:00:00+10:00,QLD1,bioenergy,23.8834,286.6
2026-01-29 02:00:00+10:00,QLD1,coal,5016.3613,60196.328
2026-01-29 02:00:00+10:00,QLD1,distillate,0.0,0.0
2026-01-29 02:00:00+10:00,QLD1,gas,125.5174,1506.2034
2026-01-29 02:00:00+10:00,QLD1,hydro,92.3764,1108.515
2026-01-29 02:00:00+10:00,QLD1,pumps,0.0,0.0
2026-01-29 02:00:00+10:00,QLD1,solar,0.6176,7.4224
2026-01-29 02:00:00+10:00,QLD1,wind,873.1286,10477.542
2026-01-29 02:00:00+10:00,SA1,battery,-39.4239,-473.0828
2026-01-29 02:00:00+10:00,SA1,battery_charging,48.4527,581.4318
2026-01-29 02:00:00+10:00,SA1,battery_discharging,8.9523,107.4302
2026-01-29 02:00:00+10:00,SA1,distillate,0.0,0.0
2026-01-29 02:00:00+10:00,SA1,gas,42.5202,510.2548
2026-01-29 02:00:00+10:00,SA1,solar,0.0,0.0
2026-01-29 02:00:00+10:00,SA1,wind,1856.8289,22281.952
2026-01-29 02:00:00+10:00,TAS1,gas,0.0,0.0
2026-01-29 02:00:00+10:00,TAS1,hydro,817.3592,9808.3116
2026-01-29 02:00:00+10:00,TAS1,solar,0.0,0.0
2026-01-29 02:00:00+10:00,TAS1,wind,115.4065,1384.88
2026-01-29 02:00:00+10:00,VIC1,battery,-259.2409,-3110.8946
2026-01-29 02:00:00+10:00,VIC1,battery_charging,261.698,3140.3813
2026-01-29 02:00:00+10:00,VIC1,battery_discharging,2.4571,29.4867
2026-01-29 02:00:00+10:00,VIC1,coal,3982.2038,47786.438
2026-01-29 02:00:00+10:00,VIC1,gas,0.0,0.0
2026-01-29 02:00:00+10:00,VIC1,hydro,0.1598,1.92
2026-01-29 02:00:00+10:00,VIC1,solar,-0.1704,-2.04
2026-01-29 02:00:00+10:00,VIC1,wind,1847.381,22168.578
2026-01-29 03:00:00+10:00,NSW1,battery,-4.17,-50.0515
2026-01-29 03:00:00+10:00,NSW1,battery_charging,10.661,127.9384
2026-01-29 03:00:00+10:00,NSW1,battery_discharging,6.491,77.8869
2026-01-29 03:00:00+10:00,NSW1,bioenergy,49.6996,596.3944
2026-01-29 03:00:00+10:00,NSW1,coal,4371.8483,52462.182
2026-01-29 03:00:00+10:00,NSW1,distillate,0.0,0.0
2026-01-29 03:00:00+10:00,NSW1,gas,44.7301,536.76
2026-01-29 03:00:00+10:00,NSW1,hydro,138.5376,1662.4462
2026-01-29 03:00:00+10:00,NSW1,pumps,0.0,0.0
2026-01-29 03:00:00+10:00,NSW1,solar,0.0264,0.3144
2026-01-29 03:00:00+10:00,NSW1,wind,1562.0256,18744.312
2026-01-29 03:00:00+10:00,QLD1,battery,9.1767,110.1189
2026-01-29 03:00:00+10:00,QLD1,battery_charging,12.9982,155.9798
2026-01-29 03:00:00+10:00,QLD1,battery_discharging,25.3381,304.0549
2026-01-29 03:00:00+10:00,QLD1,bioenergy,23.9333,287.2
2026-01-29 03:00:00+10:00,QLD1,coal,5020.018,60240.211
2026-01-29 03:00:00+10:00,QLD1,distillate,0.0,0.0
2026-01-29 03:00:00+10:00,QLD1,gas,124.9851,1499.8174
2026-01-29 03:00:00+10:00,QLD1,hydro,97.122,1165.46
2026-01-29 03:00:00+10:00,QLD1,pumps,0.0,0.0
2026-01-29 03:00:00+10:00,QLD1,solar,0.5076,6.1068
2026-01-29 03:00:00+10:00,QLD1,wind,984.166,11809.989
2026-01-29 03:00:00+10:00,SA1,battery,-40.4982,-485.9719
2026-01-29 03:00:00+10:00,SA1,battery_charging,52.3967,628.7568
2026-01-29 03:00:00+10:00,SA1,battery_discharging,11.69,140.2825
2026-01-29 03:00:00+10:00,SA1,distillate,0.0,0.0
2026-01-29 03:00:00+10:00,SA1,gas,42.4377,509.2648
2026-01-29 03:00:00+10:00,SA1,solar,0.0,0.0
2026-01-29 03:00:00+10:00,SA1,wind,1823.2423,21878.915
2026-01-29 03:00:00+10:00,TAS1,gas,0.0,0.0
2026-01-29 03:00:00+10:00,TAS1,hydro,804.9741,9659.6858
2026-01-29 03:00:00+10:00,TAS1,solar,0.0,0.0
2026-01-29 03:00:00+10:00,TAS1,wind,134.7009,1616.41
2026-01-29 03:00:00+10:00,VIC1,battery,-240.8399,-2890.0798
2026-01-29 03:00:00+10:00,VIC1,battery_charging,241.6587,2899.9042
2026-01-29 03:00:00+10:00,VIC1,battery_discharging,0.8188,9.8244
2026-01-29 03:00:00+10:00,VIC1,coal,3901.3468,46816.157
2026-01-29 03:00:00+10:00,VIC1,gas,0.0,0.0
2026-01-29 03:00:00+10:00,VIC1,hydro,0.1599,1.92
2026-01-29 03:00:00+10:00,VIC1,solar,-0.1704,-2.04
2026-01-29 03:00:00+10:00,VIC1,wind,1875.4228,22505.071
2026-01-29 04:00:00+10:00,NSW1,battery,4.8424,58.0991
